UserID,a person/human/[my name]/just me_tickbox,agender_tickbox,bigender_tickbox,binary_tickbox,butch_tickbox,cisgender_tickbox,demiboy_tickbox,demigirl_tickbox,enby_tickbox,fag_tickbox,gender non-conforming_tickbox,genderfluid_tickbox,genderqueer_tickbox,nonbinary_tickbox,queer_tickbox,questioning/unknown_tickbox,trans_tickbox,transfeminine_tickbox,transgender_tickbox,transmasculine_tickbox,no self-description_tickbox,is_trans_tickbox,is_cis_tickbox,conflicted_cis/trans_tickbox,unspecified_cis/trans_tickbox,is_only_demigirl_tickbox,is_only_demiboy_tickbox,conflicted_demigirl/demiboy_tickbox,is_transmasc_tickbox,is_transfemme_tickbox,conflicted_transmasc/transfem_tickbox,unspecified_transmasc/transfem_tickbox,is_only_butch_tickbox,is_only_fag_tickbox,conflicted_fag/butch_tickbox,is_nb_tickbox,is_nb_umbrella_tickbox,is_binary_nb_tickbox,is_binary_nb_umbrella_tickbox,is_afab_tickbox,is_amab_tickbox
244403376,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244403521,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244403535,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,Yes,None,None,Yes,Yes,None,None,Yes,None
244403456,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
244403395,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244403735,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,Yes,None,None,None,None,None,None,Yes,None
244403909,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244403899,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244403412,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,Yes,Yes,None,None,None,None
244403450,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244403509,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,None,None,None,Yes,Yes,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244403575,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,Yes,Yes,None,None,Yes,None
244403889,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244403694,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244403714,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,Yes,Yes,None,None,None,None
244404110,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None
244403791,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
244404021,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,None,None,None,Yes,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None,None,Yes
244403428,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244403654,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244403957,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,None,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes
244403616,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,Yes,Yes,None,None,Yes,None
244403914,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404015,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244404146,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404106,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244403718,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
244404441,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,None,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes
244404049,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244403691,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,Yes,Yes,None,None,None,None
244404003,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,Yes,None,Yes,None,None,None,None,Yes,None,None,Yes,None,None,Yes,None
244403850,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,None,None,None,None,None,None,None,None,Yes,None,Yes,None,None,Yes,Yes,None,None,None,None
244404030,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244404381,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244404122,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,None,None,None,Yes,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,Yes
244404312,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,Yes,None,None,Yes,None
244404045,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244403751,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244403917,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None
244404252,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244404534,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,None,Yes,None,None,Yes,None,None,None,None,None,None,Yes,None,None,Yes,Yes,None,None,Yes,None
244404371,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None,None,Yes,None
244403867,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None
244404791,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244403687,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404603,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244404268,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404696,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,Yes,Yes,None,None,None,None
244404678,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244404940,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
244404645,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,Yes,Yes,None,None,Yes,None
244404550,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
244404635,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,Yes,None,None,Yes,Yes,None,None,Yes,None
244404909,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,None,None,None,Yes,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes
244404233,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404132,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,None,None,None,None,None,None,None,Yes,None,None,None,Yes,None,Yes,Yes,None,None,None,Yes
244404711,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,Yes,None,None,Yes,None
244404945,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
244404323,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404861,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,Yes,Yes,None,None,None,None
244404851,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,None,None,None,Yes,None,Yes,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244404532,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,Yes,None,None,Yes,None
244404713,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244404276,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404805,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,None,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes
244404644,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244405035,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,Yes,None,Yes,Yes,None,None,None,None
244405007,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
244404968,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244404559,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,Yes,Yes,None,None,None,None
244405126,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244405119,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244404715,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404327,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,Yes,Yes,None,None,None,None
244405203,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,Yes,Yes,None,None,Yes,None
244405247,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,Yes,None,None,Yes,Yes,None,None,Yes,None
244405031,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,None,None,None,Yes,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244404862,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,None,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes
244405140,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244404996,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None
244405017,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244404229,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244405094,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,Yes,None,None,Yes,None
244405451,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,None
244405244,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None,None,None
244405227,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244404979,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244403568,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,None,None,None,None,None,None,None,None,None,Yes,None,None,None,Yes,Yes,None,None,None,None
244405188,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244403871,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244404963,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,Yes,Yes,None,None,Yes,None
244404661,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,None,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes
244404710,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,None,None
244405594,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
244403595,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,None,None,None,None,None,None,Yes,None,None,None,Yes,None,None,Yes,Yes,None,None,Yes,None
244405183,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,None,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes
244405411,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,None,None,None,None,None,None,None,None,None,Yes,Yes,None,None,Yes,Yes,None,None,None,None
244405395,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,None,None,None,None,None,None,None,Yes,None,None,None,None,None,Yes,Yes,None,None,None,Yes
244405102,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
