UserID,all_write_ins,no_of_write_ins,wrote_in
244403412,"['Not a woman', 'Probably male', ""It's all made up anyway"", 'Autistic']",4.0,Yes
244403509,['Femflux'],1.0,Yes
244403575,"['thing', 'boything', 'creature', 'tranny', 'freak']",5.0,Yes
244404110,"['Gay', 'Non-conforming']",2.0,Yes
244403791,['Nongendered'],1.0,Yes
244403654,['genderfaun'],1.0,Yes
244403691,"['Pangender', 'Queerio']",2.0,Yes
244404003,"['boy', 'man']",2.0,Yes
244404030,['autigender'],1.0,Yes
244404122,"['transneutral', 'isogender']",2.0,Yes
244404252,"['genderfucker', 'gender abolitionist', 'amorphous blob', 'ominous fog', 'goblin cryptid']",5.0,Yes
244404371,"['man', 'boy']",2.0,Yes
244403867,"['tranny', 'multigender', 'abinary', 'xenogender', 'twink', 'fairy']",6.0,Yes
244404603,"['neutrois', 'voidpunk']",2.0,Yes
244404268,['Lesbian'],1.0,Yes
244404645,"['Boygirl', 'Girlboy', 'Faggot', 'Queerdo (pronounced like weirdo)']",4.0,Yes
244404233,"['transneutral', 'nb']",2.0,Yes
244404132,"['boygirl', 'girlboy']",2.0,Yes
244404711,['aromantic'],1.0,Yes
244404945,['Agenderflux'],1.0,Yes
244404861,"['dyke', 'gender playful', 'genderfuck', 'autgender']",4.0,Yes
244404532,['dyke'],1.0,Yes
244404713,['nb'],1.0,Yes
244404644,['Not a man and not a woman'],1.0,Yes
244404559,"['boydyke', 'girlfag', 'prettyboi']",3.0,Yes
244405031,['demifemale'],1.0,Yes
244405140,"['multigender', 'autistic (in relation to gender)', 'genderfuck', 'cis-ish']",4.0,Yes
244405017,"['xenic', 'xenogender', 'gendersylph', 'cryptid', 'creature']",5.0,Yes
244405094,"['Dyke', 'Tranny']",2.0,Yes
244404979,"['Giant clusterfuck', 'Something else', 'Outside']",3.0,Yes
244403568,['girl'],1.0,Yes
244405188,['transboy'],1.0,Yes
244404661,"['Femme non-binary', 'AFAB', 'AFAB transfeminine', 'A human person', 'A sentient being here with all these other sentient beings', 'Autistic']",6.0,Yes
244403595,"['bear', 'masc', 'femboy']",3.0,Yes
244405183,['tranny'],1.0,Yes
