UserID,total_tickboxes,total_non_synonymous_tickboxes,total_nb_umbrella_tickboxes,questioning/unknown_tickbox,no self-description_tickbox,all_write_ins,no_of_write_ins,wrote_in,useable_write_ins,ace_aro_user,achillean_user,afab_user,amab_user,androgyne_user,androgynous_user,autistic_user,bear_user,bi_pan_user,both_user,conflicted_queer_user,crossdresser_user,demi_user,detrans_user,drag_user,dyke_user,dykefag_user,faggotry_for_women_user,female_present_passing_user,femboy_user,femme_user,futch_user,gay_user,genderflux_user,he_user,homo_user,intersex_user,lesbian_user,lesbianism_for_men_user,male_present_passing_user,masc_user,neither_user,neutral_user,non_female_aligned_user,non_male_aligned_user,other_neurodivergent_user,plural_user,sapphic_user,she_user,sissy_user,they_user,trap_user,twink_user,conflicted_female_aligned_user,conflicted_male_aligned_user,trans_unified,transmasc_unified,transfemme_unified,cis_unified,any_female_aligned_unified,any_male_aligned_unified,female_aligned_unified,male_aligned_unified,nb_unified,a_bi_fluid_flux_neu_gender_unified,nb_umbrella_unified,agender_genderless_unified,bigender_pangender_unified,genderfluid_unified,binary_unified,person_human_unified,butch_unified,fag_unified,gnc_unified,genderqueer_unified,queer_unified,mlm_labels_unified,wlw_labels_unified,gay_homo_bi_pan_unified,is_female_aligned,is_male_aligned,is_conflicted_female_aligned,is_conflicted_male_aligned,is_non_male_aligned,is_non_female_aligned,unspecified_alignment,is_trans,is_cis,unspecified_trans_status,is_transmasc,is_transfemme,unspecified_trans_direction,is_afab,is_amab,is_wlw_aligned,is_mlm_aligned,is_female_pass_pres,is_male_pass_pres,is_gnc
244403412,5,5,1,No,No,"['Not a woman', 'Probably male', '""It\'s all made up anyway""', 'Autistic']",4,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
244403509,4,4,2,No,No,['Femflux'],1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244403575,6,5,1,No,No,"['thing', 'boything', 'creature', 'tranny', 'freak']",5,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
244404110,2,2,0,No,No,"['Gay', 'Non-conforming']",2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
244403791,3,3,1,No,Yes,['Nongendered'],1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244403654,10,9,4,No,No,['genderfaun'],1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No
244403691,8,6,2,No,No,"['Pangender', 'Queerio']",2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes
244404003,8,7,1,No,No,"['boy', 'man']",2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
244404030,11,9,3,Yes,No,['autigender'],1,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes
244404122,9,7,2,Yes,No,"['transneutral', 'isogender']",2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No
