,UserID,they_user,he_user,it_user,she_user,any_user,questioning,avoid_pronouns/name_as_pronoun,number_of_sets,number_of_big_three,neopronoun_user,she_only,he_only,they_only,it_only,neopronoun_only,she/they,he/they,she/he,she/it,he/it,they/it,she/[neo],he/[neo],they/[neo],she/he/they
0,244403376,None,None,None,None,None,None,Yes,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,244403521,Yes,Yes,None,None,None,None,None,3.0,2.0,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
2,244403535,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
3,244403456,Yes,None,None,None,None,None,Yes,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
4,244403395,Yes,None,Yes,None,None,None,None,2.0,1.0,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
5,244403735,None,Yes,Yes,None,None,None,None,2.0,1.0,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None
6,244403909,None,None,None,None,Yes,None,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,244403899,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
8,244403412,None,Yes,None,None,None,None,None,1.0,1.0,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None
9,244403450,Yes,None,Yes,None,None,None,None,2.0,1.0,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
10,244403509,None,None,None,None,Yes,None,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,244403575,Yes,Yes,Yes,None,None,None,None,3.0,2.0,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
12,244403889,Yes,None,None,None,None,None,None,2.0,1.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None
13,244403694,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
14,244403714,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
15,244404110,None,Yes,None,None,None,None,None,1.0,1.0,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None
16,244403791,Yes,None,Yes,None,None,None,Yes,2.0,1.0,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None
17,244404021,None,None,None,Yes,None,None,None,2.0,1.0,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None
18,244403428,Yes,None,None,None,None,None,None,1.0,1.0,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,None
19,244403654,Yes,Yes,Yes,None,None,None,None,4.0,2.0,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
20,244403957,Yes,None,None,Yes,None,None,Yes,2.0,2.0,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None
21,244403616,Yes,Yes,None,None,None,None,None,3.0,2.0,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None
22,244403914,Yes,None,Yes,None,None,None,Yes,9.0,1.0,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
