UserID,q34_[my first name],q34_[nickname based on my first name],q34_Baba,q34_Dad,q34_Father,q34_Mama,q34_Mom,q34_Mother,q34_Mum,q34_Papa,q34_Parent,q34_Ren,q34_Questioning or unknown
244403376,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
244403521,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes
244403535,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244403456,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244403395,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
244403735,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
244403909,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244403899,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244403412,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244403450,No,No,No,No,No,No,No,No,No,No,No,No,No
244403509,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No
244403575,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244403889,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244403694,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
244403714,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No
244404110,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
244403791,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244404021,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
244403428,No,No,No,No,No,No,No,No,No,No,No,No,No
244403654,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No
244403957,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
244403616,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
244403914,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes
244404015,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244404146,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244404106,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
244403718,Yes,No,No,No,No,No,No,No,No,No,No,No,No
244404441,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244404049,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
244403691,No,Yes,No,No,No,No,No,No,No,No,No,No,No
244404003,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No
244403850,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
244404030,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
244404381,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
244404122,No,No,Yes,No,No,No,No,No,No,No,No,No,No
244404312,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244404045,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244403751,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244403917,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
244404252,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244404534,No,No,No,No,No,No,No,No,No,No,No,No,Yes
244404371,No,No,No,Yes,No,No,No,No,No,No,No,No,No
244403867,No,No,No,No,No,No,No,No,No,No,No,No,No
244404791,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
244403687,No,No,No,No,No,No,No,No,No,No,No,No,No
244404603,No,No,No,No,No,No,No,No,No,No,No,No,No
244404268,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
244404696,No,No,No,No,No,No,No,No,No,No,No,No,No
244404678,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
244404940,No,No,No,No,No,No,No,No,No,No,No,No,No
244404645,No,No,No,No,No,No,No,No,No,No,No,No,No
244404550,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
244404635,No,No,No,No,No,No,No,No,No,No,No,No,No
244404909,No,No,No,No,No,No,Yes,No,No,No,No,No,No
