UserID,q36_Age
244403376,26-30
244403521,26-30
244403535,21-25
244403456,16-20
244403395,16-20
244403735,16-20
244403909,21-25
244403899,21-25
244403412,26-30
244403450,16-20
244403509,21-25
244403575,16-20
244403889,16-20
244403694,21-25
244403714,21-25
244404110,31-35
244403791,11-15
244404021,16-20
244403428,31-35
244403654,21-25
244403957,21-25
244403616,16-20
244403914,16-20
244404015,61-65
244404146,21-25
244404106,16-20
244403718,26-30
244404441,56-60
244404049,21-25
244403691,31-35
244404003,16-20
244403850,16-20
244404030,16-20
244404381,31-35
244404122,26-30
244404312,11-15
244404045,16-20
244403751,11-15
244403917,16-20
244404252,26-30
244404534,26-30
244404371,16-20
244403867,16-20
244404791,21-25
244403687,21-25
244404603,36-40
244404268,16-20
244404696,21-25
244404678,26-30
244404940,36-40
244404645,31-35
244404550,36-40
244404635,16-20
244404909,21-25
244404233,26-30
244404132,26-30
244404711,21-25
244404945,21-25
244404323,26-30
244404861,26-30
244404851,26-30
244404532,16-20
244404713,16-20
244404276,31-35
244404805,41-45
244404644,21-25
244405035,26-30
244405007,16-20
244404968,21-25
244404559,31-35
244405126,46-50
244405119,16-20
244404715,41-45
244404327,11-15
244405203,16-20
244405247,31-35
244405031,26-30
244404862,41-45
244405140,26-30
244404996,16-20
244405017,16-20
244404229,21-25
244405094,21-25
244405451,16-20
244405244,26-30
244405227,11-15
244404979,21-25
244403568,16-20
244405188,16-20
244403871,16-20
244404963,26-30
244404661,16-20
244404710,21-25
244405594,16-20
244403595,16-20
244405183,26-30
244405411,16-20
244405395,31-35
244405102,16-20
244404965,16-20
244405230,21-25
244404730,16-20
244405616,26-30
244405593,36-40
244405643,16-20
244405098,36-40
244405232,21-25
244405274,16-20
244405881,21-25
244405605,21-25
244405353,36-40
244405123,61-65
244405467,21-25
244405563,21-25
244405669,16-20
244405791,16-20
244405276,21-25
244405299,16-20
244405383,16-20
244405423,26-30
244405722,21-25
244405801,16-20
244404466,21-25
244405719,21-25
244405718,16-20
244405728,16-20
244405812,16-20
244405538,16-20
244405839,16-20
244405931,26-30
244405789,21-25
244405391,16-20
244405857,16-20
244406086,26-30
244406355,21-25
244406251,41-45
244405570,36-40
244406211,21-25
244405066,16-20
244406225,26-30
244406305,16-20
244405894,41-45
244406278,21-25
244405532,26-30
244406249,26-30
244405568,41-45
244406464,21-25
244406012,21-25
244406045,21-25
244405953,21-25
244405929,16-20
244406302,21-25
244406105,16-20
244406483,21-25
244405861,26-30
244405407,26-30
244406389,21-25
244406585,31-35
244403928,36-40
244406707,36-40
244406023,16-20
244406757,21-25
244406698,21-25
244406515,31-35
244406729,21-25
244406667,36-40
244406716,41-45
244406636,31-35
244405474,26-30
244406625,26-30
244406040,21-25
244406223,21-25
244406258,16-20
244406725,26-30
244406873,26-30
244406690,21-25
244406493,26-30
244406414,16-20
244406800,21-25
244406962,21-25
244406435,21-25
244406736,41-45
244405810,16-20
244407126,36-40
244405022,21-25
244406810,26-30
244405264,46-50
244407088,26-30
244407031,16-20
244406455,41-45
244406333,21-25
244407236,26-30
244407312,26-30
244407099,31-35
244406540,16-20
244406839,16-20
244407118,21-25
244406518,36-40
244406297,26-30
244407491,26-30
244407018,26-30
244406702,16-20
244405995,21-25
244406870,26-30
244407512,26-30
244407267,21-25
244405754,21-25
244407342,16-20
244407787,11-15
244406215,16-20
244407702,21-25
244407355,31-35
244407633,21-25
244407472,26-30
244407798,21-25
244407477,26-30
244407518,26-30
244407431,16-20
244407092,21-25
244406348,21-25
244407921,21-25
244407912,21-25
244407505,26-30
244407919,16-20
244407533,31-35
244404090,21-25
244407421,16-20
244407951,21-25
244407789,11-15
244408079,16-20
244407040,21-25
244407609,26-30
244407972,26-30
244408184,16-20
244408105,21-25
244406751,16-20
244408167,36-40
244408181,16-20
244406902,16-20
244407916,16-20
244407776,31-35
244407834,26-30
244408128,26-30
244407807,16-20
244408138,16-20
244407535,26-30
244408216,41-45
244408084,36-40
244408131,26-30
244408065,21-25
244408180,21-25
244407928,26-30
244408049,16-20
244406136,26-30
244408092,31-35
244407815,26-30
244408355,21-25
244407372,21-25
244407875,31-35
244407608,21-25
244408260,21-25
244407670,21-25
244408395,41-45
244408341,31-35
244408682,41-45
244407117,21-25
244407159,21-25
244408491,21-25
244408558,26-30
244408275,16-20
244407721,21-25
244405968,16-20
244408194,26-30
244408381,31-35
244408158,16-20
244408399,21-25
244408616,16-20
244408620,71+
244408628,31-35
244408774,16-20
244408481,16-20
244408878,31-35
244408292,21-25
244408503,21-25
244408146,21-25
244408863,11-15
244408675,36-40
244408752,31-35
244408868,16-20
244408067,61-65
244407009,31-35
244408746,16-20
244408884,36-40
244408869,16-20
244408694,56-60
244408591,21-25
244409177,21-25
244409109,16-20
244408535,21-25
244408162,21-25
244408922,31-35
244408912,26-30
244409363,16-20
244408748,16-20
244409119,16-20
244409407,21-25
244408612,26-30
244409199,21-25
244408691,41-45
244408881,26-30
244409044,26-30
244409272,16-20
244408981,26-30
244409252,21-25
244409190,21-25
244409392,16-20
244407111,16-20
244409570,11-15
244405367,26-30
244409015,41-45
244408968,26-30
244409590,21-25
244409225,21-25
244409471,26-30
244409483,16-20
