UserID,q7_Sir,q7_Miss,q7_Ma'am,q7_Madam,q7_Friend,q7_Comrade,q7_Mx,q7_No title at all,q7_Questioning or unknown
244403376,No,No,No,No,Yes,No,No,No,No
244403521,Yes,No,No,No,No,Yes,No,Yes,No
244403535,No,No,No,No,No,No,No,Yes,No
244403456,No,No,No,No,No,No,No,Yes,No
244403395,No,No,No,No,No,No,No,Yes,No
244403735,Yes,No,No,No,No,No,No,No,No
244403909,No,No,No,No,Yes,Yes,No,Yes,No
244403899,No,No,No,No,No,No,No,Yes,No
244403412,Yes,No,No,No,Yes,Yes,No,Yes,No
244403450,Yes,No,No,No,No,No,No,Yes,No
244403509,Yes,No,Yes,No,No,No,Yes,Yes,No
244403575,Yes,No,No,No,No,No,No,No,No
244403889,No,No,No,No,No,No,Yes,Yes,No
244403694,No,No,No,No,Yes,No,No,Yes,No
244403714,Yes,No,No,No,No,No,No,Yes,No
244404110,Yes,No,No,No,Yes,No,No,No,No
244403791,No,No,No,No,No,Yes,No,No,No
244404021,No,Yes,Yes,No,No,No,No,No,No
244403428,No,No,No,No,No,No,No,Yes,No
244403654,No,No,No,No,No,No,Yes,Yes,No
244403957,No,Yes,Yes,No,No,No,No,Yes,No
244403616,Yes,No,No,No,No,No,Yes,No,No
244403914,No,No,No,No,Yes,No,No,Yes,No
244404015,No,No,No,No,Yes,No,No,Yes,No
244404146,No,No,No,No,Yes,No,No,Yes,No
244404106,No,Yes,Yes,No,No,Yes,No,No,No
244403718,No,No,No,No,No,No,No,Yes,No
244404441,No,No,No,No,No,No,No,Yes,No
244404049,No,No,No,No,No,No,No,Yes,No
244403691,No,No,No,No,No,No,Yes,Yes,No
244404003,Yes,No,No,No,No,No,Yes,Yes,No
244403850,Yes,No,No,No,No,No,No,No,No
244404030,No,No,No,No,Yes,No,No,Yes,No
244404381,No,No,No,No,No,No,No,Yes,No
244404122,Yes,No,No,No,No,No,Yes,No,No
244404312,Yes,No,No,No,Yes,No,No,Yes,Yes
244404045,Yes,No,No,No,No,No,No,Yes,Yes
244403751,Yes,No,No,No,No,No,Yes,No,No
244403917,No,No,No,No,No,No,No,Yes,No
244404252,No,No,No,No,No,No,No,Yes,No
244404534,No,No,No,No,Yes,No,No,Yes,No
244404371,Yes,No,No,No,Yes,No,No,No,No
244403867,Yes,No,No,No,Yes,No,Yes,No,No
244404791,No,Yes,Yes,No,Yes,No,No,No,No
244403687,Yes,No,No,No,Yes,No,No,Yes,No
244404603,No,No,No,No,No,No,No,Yes,No
244404268,Yes,No,No,No,No,Yes,No,No,No
244404696,No,No,No,No,No,No,No,Yes,No
244404678,No,Yes,No,No,No,No,No,No,No
244404940,Yes,No,No,No,No,No,No,No,No
244404645,Yes,No,No,No,Yes,No,Yes,No,No
244404550,No,No,No,No,No,No,No,Yes,No
244404635,Yes,No,No,No,No,No,No,No,No
244404909,No,Yes,No,No,No,No,No,No,No
244404233,No,No,No,No,No,Yes,No,Yes,No
